TROPHY_COUNT 4
STAR;You are a super star!;100% Completed the game;COUNT;120
8 1
8 10
8 100
8 1000
8 10000
C 1
C 10
C 100
C 1000
C 10000
C 100000
C 1000000
D 1
D 10
D 100
D 1000
D 10000
D 100000
D 1000000
E 1
E 10
E 100
E 1000
E 10000
E 100000
E 1000000
F 1
F 10
F 100
F 1000
F 10000
F 100000
F 1000000
10 1
10 10
10 100
10 1000
10 10000
10 100000
10 1000000
11 1
11 10
11 100
11 1000
11 10000
11 100000
11 1000000
12 1
12 10
12 100
12 1000
12 10000
12 100000
12 1000000
13 1
13 10
13 100
13 1000
13 10000
13 100000
13 1000000
14 1
14 10
14 100
14 1000
14 10000
14 100000
14 1000000
15 1
15 10
15 100
15 1000
15 10000
15 100000
15 1000000
16 1
16 10
16 100
16 1000
16 10000
16 100000
16 1000000
17 1
17 10
17 100
17 1000
17 10000
17 100000
17 1000000
18 1
18 10
18 100
18 1000
18 10000
18 100000
18 1000000
19 1
19 10
19 100
19 1000
19 10000
19 100000
19 1000000
1A 1
1A 10
1A 100
1A 1000
1A 10000
1A 100000
1A 1000000
1B 1
1C 1
1D 1
1E 1
1E 10
1F 1
20 1
21 1
22 1
23 1
COIN;Welcome to the third dimension;Collect your first star;OR;7
C 1
C 10
C 100
C 1000
C 10000
C 100000
C 1000000
COIN;Bob-omb boom;Collect all stars on Bob-omb battlefield;COUNT;7
C 1
C 10
C 100
C 1000
C 10000
C 100000
C 1000000
COIN;Money Money Money;Collect all coin stars;COUNT;7
C 1
C 10
C 100
C 1000
C 10000
C 100000
C 1000000
